rank,nome,instituicao,titulacao,linhas_pesquisa,pontuacao_PA,classificacao_PA,pontuacao_S,classificacao_S,pontuacao_C,classificacao_C,pontuacao_F,classificacao_F,pontuacao_media,PA_PA1,PA_PA2,PA_PA3,PA_PA4,S_S1,S_S2,S_S3,C_C1,C_C2,C_C3,C_C4,C_C5,F_F1,F_F2,F_F3,F_F4,N_N1,N_N2,classificacao_final,justificativa_classificacao,curriculo_lattes,arquivo_origem,timestamp
1,Emanuel Carrilho,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor Titular,"Química, Separações Analíticas, ce, instrumentação, análises genéticas, seqüênciamento de dna e microchip.",3.333333333333333,MODERADA,3.333333333333333,MODERADA,0.0,BAIXA,2.5,MODERADA,2.2916666666666665,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 2.3, poucas categorias relevantes",,FAPESP_Emanuel_Carrilho_20250907_130258.json,2025-09-22T14:43:42.483517
2,Richard John Ward,"Universidade de São Paulo. Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Titular,Biofísica; Estrutura e Função de Proteínas; Evolução dirigida de proteínas; Desenho e engenharia de enzimas; Nanotecnologia e biotecnológica.,5.0,ALTA,3.333333333333333,MODERADA,0.0,BAIXA,0.0,BAIXA,2.083333333333333,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 2.1, poucas categorias relevantes",,FAPESP_Richard_John_Ward_20250907_130258.json,2025-09-22T14:43:31.430002
3,Taisa Magnani Dinamarco,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professora,"Bioprospecção de novas enzimas; clonagem, expressão e caracterização de proteínas recombinantes; sacarificação e hidrólise enzimática; aproveitamento de resíduos agroindustriais para produção de derivados químicos e biocombustíveis.",5.0,ALTA,3.333333333333333,MODERADA,0.0,BAIXA,0.0,BAIXA,2.083333333333333,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 2.1, poucas categorias relevantes",,FAPESP_Taisa_Magnani_Dinamarco_20250907_130258.json,2025-09-22T14:43:30.423099
4,Maria Olímpia de Oliveira Rezende,"Universidade de São Paulo, Instituto de Química de São Carlos",Professora Associada,"Química ambiental, ciclagem da matéria orgânica, vermicompostagem, tratamento de efluentes, avaliação de bioerbicidas, química das substâncias húmicas, reaproveitamento de resíduos agroindustriais, ensino de química.",3.333333333333333,BAIXA,0.0,BAIXA,2.0,BAIXA,2.5,MODERADA,1.9583333333333333,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 2.0, poucas categorias relevantes",,FAPESP_Maria_Olímpia_de_Oliveira_Rezende_20250907_130258.json,2025-09-22T14:43:38.462843
5,Paulo Marcos Donate,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Associado,"Síntese orgânica, catálise, química de produtos naturais, síntese e estudos de diversos tipos de produtos com atividade biológica.",0.0,BAIXA,6.666666666666666,MODERADA,0.0,BAIXA,0.0,BAIXA,1.6666666666666665,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.7, poucas categorias relevantes",,FAPESP_Paulo_Marcos_Donate_20250907_130258.json,2025-09-22T14:43:36.454564
6,Pietro Ciancaglini,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Titular,"Obtenção, solubilização, isolamento/purificação e reconstituição de proteínas de membrana em sistemas lipossomais; Investigação do papel das vesículas extracelulares (VEs) na iniciação, propagação, regeneração e modelagem da mineralização biológica.",1.6666666666666665,BAIXA,0.0,BAIXA,2.0,MODERADA,2.5,MODERADA,1.5416666666666665,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.5, poucas categorias relevantes",,FAPESP_Pietro_Ciancaglini_20250907_130258.json,2025-09-22T14:43:27.411338
7,Sérgio Akinobu Yoshioka,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor Doutor,Desenvolvimento de biomateriais e bioplásticos a partir de resíduos agroindustriais; modificações químicas e físicas de proteínas e polissacarídeos; extração e purificação de proteínas enzimáticas; biodegradação de materiais; caracterização físico-química de materiais; estudo da interação células-tr,3.333333333333333,MODERADA,0.0,BAIXA,0.0,BAIXA,2.5,MODERADA,1.4583333333333333,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.5, poucas categorias relevantes",,FAPESP_Sérgio_Akinobu_Yoshioka_20250907_130258.json,2025-09-22T14:43:26.409577
8,María Sol Brassesco Annichini,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professora Associada MS5-1 (RDIDP),"Oncogenética, marcadores moleculares de neoplasias malignas da infância, alternativas terapêuticas, aplicações biotecnológicas para tratamento de lesões ósseas.",0.0,BAIXA,3.333333333333333,MODERADA,0.0,BAIXA,2.5,MODERADA,1.4583333333333333,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.5, poucas categorias relevantes",,FAPESP_María_Sol_Brassesco_Annichini_20250907_130258.json,2025-09-22T14:43:40.473317
9,Tiana Kohlsdorf,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Titular,"Biologia Evolutiva; Evo-Devo e Eco-Evo-Devo; Evolução molecular, morfológica e fisiológica.",0.0,BAIXA,3.333333333333333,MODERADA,0.0,BAIXA,2.5,MODERADA,1.4583333333333333,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.5, poucas categorias relevantes",,FAPESP_Tiana_Kohlsdorf_20250907_130258.json,2025-09-22T14:43:45.495898
10,Carlos Alberto Montanari,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor Titular,,0.0,BAIXA,3.333333333333333,MODERADA,2.0,BAIXA,0.0,BAIXA,1.3333333333333333,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.3, poucas categorias relevantes",,FAPESP_Carlos_Alberto_Montanari_20250907_130258.json,2025-09-22T14:43:31.429476
