nome,instituicao,titulacao,linhas_pesquisa,curriculo_lattes,pontuacao_PA,pontuacao_S,pontuacao_C,pontuacao_F,pontuacao_media,classificacao_PA,classificacao_S,classificacao_C,classificacao_F,fator_N1,fator_N2,classificacao_final,justificativa_classificacao,arquivo_origem,timestamp,rank,rank_categoria,PA_PA1,PA_PA2,PA_PA3,PA_PA4,S_S1,S_S2,S_S3,C_C1,C_C2,C_C3,C_C4,C_C5,F_F1,F_F2,F_F3,F_F4,N_N1,N_N2
Adalgisa Rodrigues de Andrade,"Universidade de São Paulo (USP), Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professora Titular,"Eletroquímica Ambiental, produção de energia com células a combustível e biocélulas a combustível enzimáticas e microbiológicas.",,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Adalgisa_Rodrigues_de_Andrade_20250907_130258.json,2025-09-22T14:43:36.456284,97,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ademilson Panunto Castelo,"Universidade de São Paulo (USP), Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Associado,"Imunologia, Imunoquímica, Glicobiologia, Imunoterapia na infecção por Paracoccidioides brasiliensis.",,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Ademilson_Panunto_Castelo_20250907_130258.json,2025-09-22T14:43:45.495673,110,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Adriano Garcia Chiarello,"Universidade de São Paulo (USP), Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",,"Ecologia aplicada à conservação, particularmente envolvendo espécies de mamíferos Neotropicais.",,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Adriano_Garcia_Chiarello_20250907_130258.json,2025-09-22T14:43:36.455036,85,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Agnieszka Joanna Pawlicka Maule,"Universidade de São Paulo (USP), Instituto de Química de São Carlos (IQSC)",Professora,Materiais para dispositivos eletroquímicos e desenvolvimento de dispositivos eletrocrômicos; Hidrogéis superabsorventes e biodegradáveis para aplicação em agricultura.,,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Agnieszka_Joanna_Pawlicka_Maule_20250907_130258.json,2025-09-22T14:43:43.488403,109,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Albérico Borges Ferreira da Silva,"Universidade de São Paulo (USP), Instituto de Química de São Carlos (IQSC)",Professor Titular,"Química Quântica, Química Medicinal.",,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Albérico_Borges_Ferreira_da_Silva_20250907_130258.json,2025-09-22T14:43:30.425130,81,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Artur de Jesus Motheo,"Universidade de São Paulo (USP), Instituto de Química de São Carlos (IQSC)",Professor Titular,"Eletroquímica, tratamento de água, degradação de poluentes.",,1.6666666666666665,0.0,0.0,0.0,0.41666666666666663,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.4, poucas categorias relevantes",FAPESP_Artur_de_Jesus_Motheo_20250907_130258.json,2025-09-22T14:43:33.440188,63,6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bruno Spinosa de Martinis,"Universidade de São Paulo (USP), Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Associado 3,"Química Analítica Forense, desenvolvimento de métodos analíticos para drogas de abuso, toxicologia forense.",,1.6666666666666665,0.0,2.0,0.0,0.9166666666666666,BAIXA,BAIXA,MODERADA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.9, poucas categorias relevantes",FAPESP_Bruno_Spinosa_de_Martinis_20250907_130258.json,2025-09-22T14:43:39.468089,22,7,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Carlos Alberto Martinez y Huaman,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Livre-Docente e Professor Associado MS-5 (3),"Ecofisiologia da fotossíntese e sequestro de carbono; Fisiologia das plantas sob estresse abiótico (estresse luminoso, hídrico, oxidativo, salino e térmico); Fisiologia das plantas em resposta às mudanças climáticas (efeitos do incremento do CO2, da temperatura e da restrição hídrica sobre a fisiolo",,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Carlos_Alberto_Martinez_y_Huaman_20250907_130258.json,2025-09-22T14:43:44.490092,108,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Eduardo Bessa Azevedo,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor Doutor,"Engenharia Sanitária, Técnicas Avançadas de Tratamento de Águas, POAs, TiO2, corantes, ecotoxicidade, micro-ondas e Quimiometria.",,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Eduardo_Bessa_Azevedo_20250907_130258.json,2025-09-22T14:43:44.491135,103,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fernanda de Lourdes Souza,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Pesquisadora,,,0.0,0.0,2.0,0.0,0.5,BAIXA,BAIXA,MODERADA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.5, poucas categorias relevantes",FAPESP_Fernanda_de_Lourdes_Souza_20250907_130258.json,2025-09-22T14:43:32.434819,40,10,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
