nome,instituicao,titulacao,linhas_pesquisa,curriculo_lattes,pontuacao_PA,pontuacao_S,pontuacao_C,pontuacao_F,pontuacao_media,classificacao_PA,classificacao_S,classificacao_C,classificacao_F,fator_N1,fator_N2,classificacao_final,justificativa_classificacao,arquivo_origem,timestamp,rank,rank_categoria,PA_PA1,PA_PA2,PA_PA3,PA_PA4,S_S1,S_S2,S_S3,C_C1,C_C2,C_C3,C_C4,C_C5,F_F1,F_F2,F_F3,F_F4,N_N1,N_N2
Ana Cláudia Kasseboehmer,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Docente Associada-1,"Divulgação Científica, Abordagem investigativa no Ensino de Ciências e Formação inicial e continuada de professores.",,0.0,0.0,2.0,0.0,0.5,BAIXA,BAIXA,MODERADA,BAIXA,False,True,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.5, poucas categorias relevantes",FAPESP_Ana_Cláudia_Kasseboehmer_20250907_130258.json,2025-09-22T14:43:36.455471,51,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
Ana Paula Ramos,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professora Associada,"Formação e caracterização superficial de sistemas coloidais, nanopartículas e filmes finos; formação de matrizes biomiméticas contendo biominerais, aplicações em sistemas osteoindutores.",,0.0,0.0,0.0,2.5,0.625,BAIXA,BAIXA,BAIXA,MODERADA,True,True,CLIENTE INADEQUADO,Cliente inadequado: sem uso de proteínas recombinantes e área não correlata à biotecnologia,FAPESP_Ana_Paula_Ramos_20250907_130258.json,2025-09-22T14:43:35.450045,37,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
Anderson Rodrigo Moraes de Oliveira,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Associado 1,"Química Analítica, separação estereosseletiva de praguicidas, fármacos e metabólitos por cromatografia líquida de alta eficiência (HPLC) e eletroforese capilar, validação de métodos analíticos, desenvolvimento de técnicas miniaturizadas de preparo de amostras e estudos de metabolismo in vitro. Desen",,1.6666666666666665,0.0,0.0,0.0,0.41666666666666663,BAIXA,BAIXA,BAIXA,BAIXA,True,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.4, poucas categorias relevantes",FAPESP_Anderson_Rodrigo_Moraes_de_Oliveira_20250907_130258.json,2025-09-22T14:43:26.408619,59,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
André Luiz Meleiro Porto,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),ref. ms3 - RDIDP,"Biocatálise e biotransformação de compostos orgânicos utilizando microrganismos nativos isolados do território nacional (microrganismos de origem marinha, fungos isolados de algas marinhas). Reações enzimáticas: óxido-redução, hidrólises, Baeyer-Villiger, oxidação de sulfetos, oxidação de nitrilas. ",,5.0,0.0,0.0,0.0,1.25,BAIXA,BAIXA,BAIXA,BAIXA,True,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.2, poucas categorias relevantes",FAPESP_André_Luiz_Meleiro_Porto_20250907_130258.json,2025-09-22T14:43:37.458470,14,4,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Annie Schmaltz Hsiou,,,,,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,True,True,CLIENTE INADEQUADO,Cliente inadequado: sem uso de proteínas recombinantes e área não correlata à biotecnologia,FAPESP_Annie_Schmaltz_Hsiou_20250907_130258.json,2025-09-22T14:43:35.450304,72,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Antonio Carlos Roveda Júnior,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor,"Química Inorgânica, com ênfase em ativação de pequenas moléculas; Química Inorgânica e Eletroquímica, com ênfase na reatividade de pequenas moléculas, como óxido nítrico (NO), oxigênio molecular (O2) e dióxido de carbono (CO2); Desenvolvimento de materiais à base de amido, focando na aplicação de fi",,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,True,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Antonio_Carlos_Roveda_Júnior_20250907_130258.json,2025-09-22T14:43:31.429754,80,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Antonio Claudio Tedesco,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Titular,"Terapia Fotodinâmica, Fotobiologia e Engenharia Tecidual; Química e Farmácia, com ênfase em Fotoquímica, Fotobiologia e Fotomedicina.",,0.0,0.0,0.0,5.0,1.25,BAIXA,BAIXA,BAIXA,MODERADA,False,True,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.2, poucas categorias relevantes",FAPESP_Antonio_Claudio_Tedesco_20250907_130258.json,2025-09-22T14:43:39.468521,13,7,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True
Asdrubal Lozada Blanco,"Universidade Federal de São Carlos (UFSCAR), Centro de Ciências Exatas e de Tecnologia (CCET)",,"Computação Científica, Mecânica Estatística, Química Quântica.",,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,True,True,CLIENTE INADEQUADO,Cliente inadequado: sem uso de proteínas recombinantes e área não correlata à biotecnologia,FAPESP_Asdrubal_Lozada_Blanco_20250907_130258.json,2025-09-22T14:43:48.507628,115,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Benedito dos Santos Lima Neto,"Universidade de São Paulo (USP), Instituto de Química de São Carlos (IQSC)",Professor Doutor,"Química de coordenação, catálise homogênea, metátese de olefinas, polímeros híbridos, redes metalo-orgânicas (MOFs).",,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,True,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Benedito_dos_Santos_Lima_Neto_20250907_130258.json,2025-09-22T14:43:30.423643,78,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Carla Cristina Schmitt Cavalheiro,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professora Associada MS 5.2,"Fluorescência resolvida no tempo, transferência de carga e energia, fotoquímica de chalconas e thioxantonas, sondas, nanopartículas; Sistemas de fotoiniciação de polimerização, cinética de fotopolimerização para diferentes aplicações (resinas para impressão 3D, resinas dentárias e nanocompósitos).",,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,True,True,CLIENTE INADEQUADO,Cliente inadequado: sem uso de proteínas recombinantes e área não correlata à biotecnologia,FAPESP_Carla_Cristina_Schmitt_Cavalheiro_20250907_130258.json,2025-09-22T14:43:42.483733,101,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
