rank,nome,instituicao,titulacao,linhas_pesquisa,pontuacao_PA,classificacao_PA,pontuacao_S,classificacao_S,pontuacao_C,classificacao_C,pontuacao_F,classificacao_F,pontuacao_media,PA_PA1,PA_PA2,PA_PA3,PA_PA4,S_S1,S_S2,S_S3,C_C1,C_C2,C_C3,C_C4,C_C5,F_F1,F_F2,F_F3,F_F4,N_N1,N_N2,classificacao_final,justificativa_classificacao,curriculo_lattes,arquivo_origem,timestamp
1,Nathália Gonsales da Rosa Garzon,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professora Doutora,"Bioprospecção de microrganismos; cultivo de diferentes sistemas de expressão (células de mamíferos, fungos filamentosos, bactérias e leveduras); produção, purificação e caracterização de enzimas homólogas e recombinantes; aplicações tecnológicas de enzimas.",8.333333333333334,ALTA,0.0,BAIXA,0.0,BAIXA,2.5,MODERADA,2.7083333333333335,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 2.7, poucas categorias relevantes",,FAPESP_Nathália_Gonsales_da_Rosa_Garzon_20250907_130258.json,2025-09-23T14:18:35.762344
2,Taisa Magnani Dinamarco,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professora,"Bioprospecção de novas enzimas; clonagem, expressão e caracterização de proteínas recombinantes; sacarificação e hidrólise enzimática; aproveitamento de resíduos agroindustriais para produção de derivados químicos e biocombustíveis.",6.666666666666666,MODERADA,3.333333333333333,MODERADA,0.0,BAIXA,0.0,BAIXA,2.5,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 2.5, poucas categorias relevantes",,FAPESP_Taisa_Magnani_Dinamarco_20250907_130258.json,2025-09-23T14:18:55.771688
3,Richard John Ward,"Universidade de São Paulo. Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Titular,Biofísica; Estrutura e Função de Proteínas; Evolução dirigida de proteínas; Desenho e engenharia de enzimas; Nanotecnologia e biotecnológica.,5.0,ALTA,3.333333333333333,MODERADA,0.0,BAIXA,0.0,BAIXA,2.083333333333333,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 2.1, poucas categorias relevantes",,FAPESP_Richard_John_Ward_20250907_130258.json,2025-09-23T14:18:55.773726
4,Sérgio Akinobu Yoshioka,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor Doutor,Desenvolvimento de biomateriais e bioplásticos a partir de resíduos agroindustriais; modificações químicas e físicas de proteínas e polissacarídeos; extração e purificação de proteínas enzimáticas; biodegradação de materiais; caracterização físico-química de materiais; estudo da interação células-tr,5.0,ALTA,0.0,BAIXA,0.0,BAIXA,2.5,MODERADA,1.875,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.9, poucas categorias relevantes",,FAPESP_Sérgio_Akinobu_Yoshioka_20250907_130258.json,2025-09-23T14:18:35.761848
5,Emanuel Carrilho,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor Titular,"Química, Separações Analíticas, ce, instrumentação, análises genéticas, seqüênciamento de dna e microchip.",1.6666666666666665,BAIXA,3.333333333333333,MODERADA,0.0,BAIXA,2.5,MODERADA,1.875,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.9, poucas categorias relevantes",,FAPESP_Emanuel_Carrilho_20250907_130258.json,2025-09-23T14:19:55.794209
6,Tiana Kohlsdorf,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Titular,"Biologia Evolutiva; Evo-Devo e Eco-Evo-Devo; Evolução molecular, morfológica e fisiológica.",0.0,BAIXA,3.333333333333333,MODERADA,0.0,BAIXA,2.5,MODERADA,1.4583333333333333,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.5, poucas categorias relevantes",,FAPESP_Tiana_Kohlsdorf_20250907_130258.json,2025-09-23T14:20:05.807175
7,Elza Tiemi Sakamoto Hojo,Universidade de São Paulo (USP). Faculdade de Medicina de Ribeirão Preto (FMRP),Professor Associado MS-5,"Genética, Mutagênese e instabilidade genômica, respostas celulares e sinalização molecular em células irradiadas ou expostas a drogas antitumorais e potenciais fármacos, influência do danos oxidativos e neurotóxicos na etiopatogenia da doença de Alzheimer e diabetes tipo 2.",0.0,BAIXA,3.333333333333333,BAIXA,2.0,MODERADA,0.0,BAIXA,1.3333333333333333,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.3, poucas categorias relevantes",,FAPESP_Elza_Tiemi_Sakamoto_Hojo_20250907_130258.json,2025-09-23T14:19:45.790629
8,Frank Nelson Crespilho,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Livre-Docente,"Bioeletroquímica, energia sustentável, saúde, integração de sistemas biológicos a materiais eletroativos, desenvolvimento de biochips implantáveis, bio-baterias, Catálise Tridimensional, diagnóstico molecular.",5.0,ALTA,0.0,BAIXA,0.0,BAIXA,0.0,BAIXA,1.25,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.2, poucas categorias relevantes",,FAPESP_Frank_Nelson_Crespilho_20250907_130258.json,2025-09-23T14:18:45.765151
9,André Luiz Meleiro Porto,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),ref. ms3 - RDIDP,"Biocatálise e biotransformação de compostos orgânicos utilizando microrganismos nativos isolados do território nacional (microrganismos de origem marinha, fungos isolados de algas marinhas). Reações enzimáticas: óxido-redução, hidrólises, Baeyer-Villiger, oxidação de sulfetos, oxidação de nitrilas. ",5.0,ALTA,0.0,BAIXA,0.0,BAIXA,0.0,BAIXA,1.25,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.2, poucas categorias relevantes",,FAPESP_André_Luiz_Meleiro_Porto_20250907_130258.json,2025-09-23T14:19:25.786707
10,Antonio Claudio Tedesco,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Titular,"Terapia Fotodinâmica, Fotobiologia e Engenharia Tecidual; Química e Farmácia, com ênfase em Fotoquímica, Fotobiologia e Fotomedicina.",0.0,BAIXA,0.0,BAIXA,0.0,BAIXA,5.0,MODERADA,1.25,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.2, poucas categorias relevantes",,FAPESP_Antonio_Claudio_Tedesco_20250907_130258.json,2025-09-23T14:19:35.789912
