nome,instituicao,titulacao,linhas_pesquisa,curriculo_lattes,pontuacao_PA,pontuacao_S,pontuacao_C,pontuacao_F,pontuacao_media,classificacao_PA,classificacao_S,classificacao_C,classificacao_F,fator_N1,fator_N2,classificacao_final,justificativa_classificacao,arquivo_origem,timestamp,rank,rank_categoria,PA_PA1,PA_PA2,PA_PA3,PA_PA4,S_S1,S_S2,S_S3,C_C1,C_C2,C_C3,C_C4,C_C5,F_F1,F_F2,F_F3,F_F4,N_N1,N_N2
Albérico Borges Ferreira da Silva,"Universidade de São Paulo (USP), Instituto de Química de São Carlos (IQSC)",Professor Titular,"Química Quântica, Química Medicinal.",,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Albérico_Borges_Ferreira_da_Silva_20250907_130258.json,2025-09-23T14:25:15.435947,79,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anderson Rodrigo Moraes de Oliveira,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Associado 1,"Química Analítica, separação estereosseletiva de praguicidas, fármacos e metabólitos por cromatografia líquida de alta eficiência (HPLC) e eletroforese capilar, validação de métodos analíticos, desenvolvimento de técnicas miniaturizadas de preparo de amostras e estudos de metabolismo in vitro. Desen",,1.6666666666666665,0.0,0.0,0.0,0.41666666666666663,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.4, poucas categorias relevantes",FAPESP_Anderson_Rodrigo_Moraes_de_Oliveira_20250907_130258.json,2025-09-23T14:24:55.423968,51,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Annie Schmaltz Hsiou,,,,,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Annie_Schmaltz_Hsiou_20250907_130258.json,2025-09-23T14:25:35.448125,64,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Antonio Eduardo Miller Crotti,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Livre-Docente,"Espectrometria de Massas, Química de Produtos Naturais e Química Orgânica.",,1.6666666666666665,0.0,0.0,0.0,0.41666666666666663,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.4, poucas categorias relevantes",FAPESP_Antonio_Eduardo_Miller_Crotti_20250907_130258.json,2025-09-23T14:26:35.478729,56,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Artur de Jesus Motheo,"Universidade de São Paulo (USP), Instituto de Química de São Carlos (IQSC)",Professor Titular,"Eletroquímica, tratamento de água, degradação de poluentes.",,1.6666666666666665,0.0,0.0,0.0,0.41666666666666663,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.4, poucas categorias relevantes",FAPESP_Artur_de_Jesus_Motheo_20250907_130258.json,2025-09-23T14:25:25.442768,47,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bruno Spinosa de Martinis,"Universidade de São Paulo (USP), Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Associado 3,"Química Analítica Forense, desenvolvimento de métodos analíticos para drogas de abuso, toxicologia forense.",,1.6666666666666665,0.0,0.0,0.0,0.41666666666666663,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.4, poucas categorias relevantes",FAPESP_Bruno_Spinosa_de_Martinis_20250907_130258.json,2025-09-23T14:25:55.459430,58,6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Carlos Alberto Montanari,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor Titular,,,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Carlos_Alberto_Montanari_20250907_130258.json,2025-09-23T14:25:15.436567,69,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Carmen Lúcia Cardoso,,,,,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Carmen_Lúcia_Cardoso_20250907_130258.json,2025-09-23T14:26:05.466061,92,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Celso Teixeira Mendes Junior,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Associado III,"identificação humana por DNA, ancestralidade genômica, pigmentação humana e fenotipagem forense por DNA.",,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Celso_Teixeira_Mendes_Junior_20250907_130258.json,2025-09-23T14:26:05.464884,99,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Danilo Boscolo,"Universidade de São Paulo, FFCL-RP USP",Professor,"Ecologia da Paisagem, Fragmentação de Habitats, Modelagem Ecológica, SIG, Biologia da Conservação, Polinização e interação entre plantas e visitantes florais.",,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Danilo_Boscolo_20250907_130258.json,2025-09-23T14:26:05.465134,100,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
