nome,instituicao,titulacao,linhas_pesquisa,curriculo_lattes,pontuacao_PA,pontuacao_S,pontuacao_C,pontuacao_F,pontuacao_media,classificacao_PA,classificacao_S,classificacao_C,classificacao_F,fator_N1,fator_N2,classificacao_final,justificativa_classificacao,arquivo_origem,timestamp,rank,rank_categoria,PA_PA1,PA_PA2,PA_PA3,PA_PA4,S_S1,S_S2,S_S3,C_C1,C_C2,C_C3,C_C4,C_C5,F_F1,F_F2,F_F3,F_F4,N_N1,N_N2
Nathália Gonsales da Rosa Garzon,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professora Doutora,"Bioprospecção de microrganismos; cultivo de diferentes sistemas de expressão (células de mamíferos, fungos filamentosos, bactérias e leveduras); produção, purificação e caracterização de enzimas homólogas e recombinantes; aplicações tecnológicas de enzimas.",,8.333333333333334,0.0,0.0,2.5,2.7083333333333335,ALTA,BAIXA,BAIXA,MODERADA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 2.7, poucas categorias relevantes",FAPESP_Nathália_Gonsales_da_Rosa_Garzon_20250907_130258.json,2025-09-23T14:24:55.425004,1,8,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Taisa Magnani Dinamarco,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professora,"Bioprospecção de novas enzimas; clonagem, expressão e caracterização de proteínas recombinantes; sacarificação e hidrólise enzimática; aproveitamento de resíduos agroindustriais para produção de derivados químicos e biocombustíveis.",,6.666666666666666,3.333333333333333,0.0,0.0,2.5,MODERADA,MODERADA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 2.5, poucas categorias relevantes",FAPESP_Taisa_Magnani_Dinamarco_20250907_130258.json,2025-09-23T14:25:15.434886,2,13,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Richard John Ward,"Universidade de São Paulo. Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Titular,Biofísica; Estrutura e Função de Proteínas; Evolução dirigida de proteínas; Desenho e engenharia de enzimas; Nanotecnologia e biotecnológica.,,5.0,3.333333333333333,0.0,0.0,2.083333333333333,ALTA,MODERADA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 2.1, poucas categorias relevantes",FAPESP_Richard_John_Ward_20250907_130258.json,2025-09-23T14:25:15.436981,3,10,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Sérgio Akinobu Yoshioka,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor Doutor,Desenvolvimento de biomateriais e bioplásticos a partir de resíduos agroindustriais; modificações químicas e físicas de proteínas e polissacarídeos; extração e purificação de proteínas enzimáticas; biodegradação de materiais; caracterização físico-química de materiais; estudo da interação células-tr,,5.0,0.0,0.0,2.5,1.875,ALTA,BAIXA,BAIXA,MODERADA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.9, poucas categorias relevantes",FAPESP_Sérgio_Akinobu_Yoshioka_20250907_130258.json,2025-09-23T14:24:55.424587,4,12,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Emanuel Carrilho,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor Titular,"Química, Separações Analíticas, ce, instrumentação, análises genéticas, seqüênciamento de dna e microchip.",,1.6666666666666665,3.333333333333333,0.0,2.5,1.875,BAIXA,MODERADA,BAIXA,MODERADA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.9, poucas categorias relevantes",FAPESP_Emanuel_Carrilho_20250907_130258.json,2025-09-23T14:26:15.469001,5,4,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Tiana Kohlsdorf,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Titular,"Biologia Evolutiva; Evo-Devo e Eco-Evo-Devo; Evolução molecular, morfológica e fisiológica.",,0.0,3.333333333333333,0.0,2.5,1.4583333333333333,BAIXA,MODERADA,BAIXA,MODERADA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.5, poucas categorias relevantes",FAPESP_Tiana_Kohlsdorf_20250907_130258.json,2025-09-23T14:26:25.477078,6,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Frank Nelson Crespilho,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Livre-Docente,"Bioeletroquímica, energia sustentável, saúde, integração de sistemas biológicos a materiais eletroativos, desenvolvimento de biochips implantáveis, bio-baterias, Catálise Tridimensional, diagnóstico molecular.",,5.0,0.0,0.0,0.0,1.25,ALTA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.2, poucas categorias relevantes",FAPESP_Frank_Nelson_Crespilho_20250907_130258.json,2025-09-23T14:25:05.430245,8,5,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
André Luiz Meleiro Porto,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),ref. ms3 - RDIDP,"Biocatálise e biotransformação de compostos orgânicos utilizando microrganismos nativos isolados do território nacional (microrganismos de origem marinha, fungos isolados de algas marinhas). Reações enzimáticas: óxido-redução, hidrólises, Baeyer-Villiger, oxidação de sulfetos, oxidação de nitrilas. ",,5.0,0.0,0.0,0.0,1.25,ALTA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.2, poucas categorias relevantes",FAPESP_André_Luiz_Meleiro_Porto_20250907_130258.json,2025-09-23T14:25:45.455025,9,3,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Marcos Roberto de Vasconcelos Lanza,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor Associado nível 3 (MS 5.3),"Eletroquímica ambiental, eletroquímica aplicada, eletrocatalisadores, eletrodos de difusão gasosa, eletrogeração de peróxido de hidrogênio, tratamento eletroquímico de efluentes, reatores eletroquímicos, processos eletroquímicos oxidativos avançados (PEOA) associados ao tratamento de efluentes.",,1.6666666666666665,0.0,2.0,0.0,0.9166666666666666,BAIXA,BAIXA,MODERADA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.9, poucas categorias relevantes",FAPESP_Marcos_Roberto_de_Vasconcelos_Lanza_20250907_130258.json,2025-09-23T14:25:55.457568,11,33,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Júlio César Borges,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor Associado,"Expressão Heteróloga de Proteínas, Biologia Molecular, Biologia Estrutural, Biofísica de Proteínas, Chaperonas Moleculares (Hsp70, Hsp90); técnicas como Dicroísmo Circular, Fluorescência, Calorimetria e Ultracentrifugação Analítica.",,3.333333333333333,0.0,0.0,0.0,0.8333333333333333,MODERADA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.8, poucas categorias relevantes",FAPESP_Júlio_César_Borges_20250907_130258.json,2025-09-23T14:26:05.465372,19,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
